"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","points","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds"
"JOSHSCOBEE","K","espn","Josh Scobee","NO",36,545,"0",0,0,0,0,0,0,0,0,0,0,0
"SHAUNSUISHAM","K","espn","Shaun Suisham","PIT",37,546,"0",0,0,0,0,0,0,0,0,0,0,0
"GARRETTHARTLEY","K","espn","Garrett Hartley","PIT",38,547,"0",0,0,0,0,0,0,0,0,0,0,0
"ALEXHENERY","K","espn","Alex Henery","FA",39,548,"0",0,0,0,0,0,0,0,0,0,0,0
"KAIFORBATH","K","espn","Kai Forbath","NO",40,549,"0",0,0,0,0,0,0,0,0,0,0,0
"RANDYBULLOCK","K","espn","Randy Bullock","NYG",41,550,"0",0,0,0,0,0,0,0,0,0,0,0
"BRANDONBOGOTAY","K","espn","Brandon Bogotay","TB",42,551,"0",0,0,0,0,0,0,0,0,0,0,0
"CALEBSTURGIS","K","espn","Caleb Sturgis","PHI",43,552,"0",0,0,0,0,0,0,0,0,0,0,0
"ZACHHOCKER","K","espn","Zach Hocker","CIN",44,553,"0",0,0,0,0,0,0,0,0,0,0,0
"TRAVISCOONS","K","espn","Travis Coons","CLE",45,554,"0",0,0,0,0,0,0,0,0,0,0,0
"JORDANGAY","K","espn","Jordan Gay","BUF",46,555,"0",0,0,0,0,0,0,0,0,0,0,0
"KYLEBRINDZA","K","espn","Kyle Brindza","NYJ",47,556,"0",0,0,0,0,0,0,0,0,0,0,0
"KARLOSWILLIAMS","RB","espn","Karlos Williams","BUF",120,557,"-1.3",0,0,0,0,0,0,0,0,0,0,0
"BENJAMINWATSON","TE","espn","Benjamin Watson","BAL",120,558,"-0.2",0,0,0,0,0,0,0,0,0,0,0
